Código;Descripción;Padre;;;;;;;;;;;;;;;;;;;;;;;
2513;Desarrolladores web y multimedia;251;;;;;;;;;;;;;;;;;;;;;;;
2514;Programadores de aplicaciones;251;;;;;;;;;;;;;;;;;;;;;;;
2519;Desarrolladores y analistas de software y multimedia no clasificados en otros grupos primarios;251;;;;;;;;;;;;;;;;;;;;;;;
252;Profesionales en bases de datos y en redes de computadores;25;;;;;;;;;;;;;;;;;;;;;;;
2521;Diseñadores y administradores de bases de datos;252;;;;;;;;;;;;;;;;;;;;;;;
2522;Administradores de sistemas;252;;;;;;;;;;;;;;;;;;;;;;;
2523;Profesionales en redes de computadores;252;;;;;;;;;;;;;;;;;;;;;;;
2529;Profesionales en bases de datos y en redes de computadores no clasificados en otros grupos primarios;252;;;;;;;;;;;;;;;;;;;;;;;
26;PROFESIONALES EN DERECHO, EN CIENCIAS SOCIALES Y CULTURALES;2;;;;;;;;;;;;;;;;;;;;;;;
261;Profesionales en derecho;26;;;;;;;;;;;;;;;;;;;;;;;
2611;Abogados;261;;;;;;;;;;;;;;;;;;;;;;;
2612;Jueces;261;;;;;;;;;;;;;;;;;;;;;;;
2619;Profesionales en derecho no clasificados en otros grupos primarios;261;;;;;;;;;;;;;;;;;;;;;;;
262;Bibliotecarios, archivistas y curadores de arte;26;;;;;;;;;;;;;;;;;;;;;;;
2621;Archivistas y curadores de arte;262;;;;;;;;;;;;;;;;;;;;;;;
2622;Bibliotecarios, documentalistas y afines;262;;;;;;;;;;;;;;;;;;;;;;;
263;Profesionales en ciencias sociales y religiosas;26;;;;;;;;;;;;;;;;;;;;;;;
2631;Economistas;263;;;;;;;;;;;;;;;;;;;;;;;
2632;Sociólogos, antropólogos y afines;263;;;;;;;;;;;;;;;;;;;;;;;
2633;Filósofos, historiadores y especialistas en ciencias políticas;263;;;;;;;;;;;;;;;;;;;;;;;
2634;Psicólogos;263;;;;;;;;;;;;;;;;;;;;;;;
2635;Profesionales del trabajo social y consejeros;263;;;;;;;;;;;;;;;;;;;;;;;
2636;Profesionales religiosos;263;;;;;;;;;;;;;;;;;;;;;;;
264;Autores, periodistas y lingüistas;26;;;;;;;;;;;;;;;;;;;;;;;
